Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,key_skip_3.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,1,3,7,0,,,,,,,,,,,,,,,,65.70024000003468,54.50875760009512,55.99785190005787,1.4890942999627441,None,0,,None,-1,57:43,-2,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,2,,,,,0,0,0,1,,,,,,,,,,,,,59.75002919998951,60.713888600002974,0.9638594000134617,,,,,-3,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,2,,,,,0,1,1,3,,,,,,,,,,,,,64.6441776000429,65.61399980005808,0.9698222000151873,,,,,-5,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,0,2,2,0,,,,,,,,,,,,,69.56522430002224,71.06378140009474,1.498557100072503,,,,,-7,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,0,3,3,2,,,,,,,,,,,,,74.96392960008234,76.44740599999204,1.483476399909705,,,,,-9,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,2,,,,,1,0,4,1,,,,,,,,,,,,,80.34794260002673,81.31397390004713,0.9660313000204042,,,,,-11,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,1,1,5,2,,,,,,,,,,,,,85.21648649999406,86.71316150005441,1.4966750000603497,,,,,-13,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,2,,,,,1,2,6,3,,,,,,,,,,,,,90.61058500001673,91.58068290003575,0.9700979000190273,,,,,-15,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,1,3,7,0,,,,,,,,,,,,,95.48653009999543,96.9804791000206,1.493949000025168,,,,,-17,54:46,-2,None,0,None,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,2,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,109.31444290000945,109.31444290000945,109.31444290000945,109.31444290000945,space,6.069264799938537,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,1,0,1,0,0,0,0,1,0,0,0,1,,,,,0,0,0,1,,,,,,,,118.20613740000408,107.01464100007433,107.73115910007618,0.7165181000018492,right,1,0.6902057999977842,None,-16,57:43,1,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.8828746000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
