Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,response_4.rt,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,text_10.started,text_10.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2999049,100.2999049,100.2999049,100.2999049,space,1.919319600000108,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,,,,,,,,,,,,99.81169809999983,100.92075549999981,1.1090573999999833,left,1,1.0852458999997907,None,-4,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,3,,,,,,,,,,,,104.85877459999983,105.70363799999996,0.8448634000001221,left,1,0.8139127999997982,None,-3,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,0,2,2,1,,,,,,,,,,,,109.62669090000009,110.77042740000024,1.1437365000001591,right,1,1.1172754999997778,None,-2,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,0,3,3,0,,,,,,,,,,,,114.68334090000008,115.50400279999985,0.8206618999997772,right,1,0.7978017999998883,None,-1,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,1,0,4,0,,,,,,,,,,,,119.4150724000001,120.23728110000002,0.8222086999999192,right,1,0.801905099999658,None,0,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,1,1,5,2,,,,,,,,,,,,124.14187029999994,124.92064690000007,0.7787766000001284,left,1,0.7466068999997333,None,1,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,1,2,6,3,,,,,,,,,,,,128.82866019999983,129.9375,1.108839800000169,left,1,1.076205999999729,None,2,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,1,3,7,1,,,,,,,,,,,,133.8616674,135.0705557000001,1.208888300000126,right,1,1.1885800000000017,None,3,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,0,0,0,1,,,,,,,,139.01561919999995,139.7536728,0.7380536000000575,,,,,4,51:49,1,right,1,0.7209459999999126,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,0,1,1,0,,,,,,,,143.65079890000015,144.68874950000009,1.037950599999931,,,,,5,51:49,1,right,1,0.9986322999998265,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,0,2,2,2,,,,,,,,148.63814989999992,149.83721809999997,1.199068200000056,,,,,6,51:49,1,left,1,1.1798263000000588,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,0,3,3,3,,,,,,,,153.75726480000003,154.72037189999992,0.9631070999998883,,,,,4,51:49,-2,right,0,0.9401295000002392,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,1,0,4,1,,,,,,,,158.63139090000004,159.63751230000025,1.006121400000211,,,,,5,51:49,1,right,1,0.976740399999926,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,1,1,5,3,,,,,,,,163.55584309999995,164.4039797999999,0.8481366999999409,,,,,6,51:49,1,left,1,0.8303969999997207,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,1,2,6,2,,,,,,,,168.34601220000013,169.32058259999985,0.9745703999997204,,,,,7,51:49,1,left,1,0.9507238999995025,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,1,3,7,0,,,,,,,,173.26113239999995,174.22057840000025,0.9594460000002982,,,,,8,51:49,1,right,1,0.940357099999801,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.60003760000018,180.60003760000018,180.60003760000018,180.60003760000018,space,1.8680441000001338,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,180.06450769999992,180.9044047000002,0.8398970000002919,left,1,0.8161755999999514,None,9,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,184.82530429999997,185.63750609999988,0.8122017999999116,right,1,0.7919965000000957,None,10,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,0,2,2,1,,,,,,,,,,,,189.58011979999992,190.5541545000001,0.9740347000001748,left,0,0.9416648999995232,None,8,54:46,-2,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,0,3,3,3,,,,,,,,,,,,194.47327369999994,195.38763800000015,0.9143643000002157,left,1,0.8966481999996176,None,9,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,1,0,4,1,,,,,,,,,,,,199.35367369999994,200.07081030000018,0.7171366000002308,right,1,0.6951086999997642,None,10,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,1,1,5,0,,,,,,,,,,,,203.99069580000014,205.00391209999998,1.01321629999984,right,1,0.99515109999993,None,11,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,1,2,6,2,,,,,,,,,,,,208.91509910000013,209.63821659999985,0.7231174999997165,left,1,0.6938457999999628,None,12,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,1,3,7,3,,,,,,,,,,,,213.55392789999996,214.58781369999997,1.0338858000000073,left,1,1.014827499999683,None,13,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,,,,,,,,218.55417320000015,219.25390789999983,0.6997346999996807,,,,,14,51:49,1,right,1,0.6703248999997413,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,0,1,1,2,,,,,,,,223.14228319999984,224.18737360000023,1.0450904000003902,,,,,15,51:49,1,left,1,1.027756699999827,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,0,2,2,1,,,,,,,,228.09874390000004,228.9373157,0.8385717999999542,,,,,16,51:49,1,right,1,0.8062967999994726,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,0,3,3,3,,,,,,,,232.86860290000004,233.75395049999997,0.8853475999999318,,,,,17,51:49,1,left,1,0.853197899999941,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,1,0,4,3,,,,,,,,237.65505029999986,238.50400459999992,0.8489543000000594,,,,,15,51:49,-2,right,0,0.817481300000054,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,1,1,5,0,,,,,,,,242.41136860000006,243.47062050000022,1.059251900000163,,,,,13,51:49,-2,left,0,1.037786099999721,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,1,2,6,1,,,,,,,,247.36253209999995,248.0874933,0.7249612000000525,,,,,14,51:49,1,right,1,0.6941956000000573,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,1,3,7,2,,,,,,,,252.00866720000022,253.2042577000002,1.1955904999999802,,,,,15,51:49,1,left,1,1.177725499999724,None,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,2,0,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.58774570000014,259.58774570000014,259.58774570000014,259.58774570000014,space,1.8086653999998816,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,3,0,3,0,0,0,0,1,0,0,0,2,0,0,0,2,,,,,,,,,,,,258.9386647000001,259.75406310000017,0.8153984000000492,left,1,0.7900742000001628,None,16,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,3,0,3,0,0,0,0,1,0,0,0,2,0,1,1,3,,,,,,,,,,,,263.6433449000001,264.8376036999998,1.1942587999997158,left,1,1.1659162999999353,None,17,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,3,0,3,0,0,0,0,1,0,0,0,2,0,2,2,0,,,,,,,,,,,,268.7977243999999,269.5043988000002,0.7066744000003382,right,1,0.6750953999999183,None,18,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,3,0,3,0,0,0,0,1,0,0,0,2,0,3,3,1,,,,,,,,,,,,273.3904514000001,274.4213229000002,1.030871500000103,right,1,1.0028007999999318,None,19,54:46,1,,,,,,,,,,,,,Tokka,1 - without skip,"54:46, 51:49","2.5s, 2.0s",2023-07-20_14h33.55.870,Rewa's Exp,2023.1.2,59.99692815724245,
