Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,key_skip_3.keys,key_skip_3.rt,total_score,Dot_ratio,current_score,response_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,0,1,1,1,,,,,,,,62.64193549999618,64.61808079999173,1.9761452999955509,,,,,-4,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,0,2,2,0,,,,,,,,68.53032759999041,71.01815229999193,2.487824700001511,,,,,-6,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,0,3,3,2,,,,,,,,74.93942739999329,77.43465080000169,2.495223400008399,,,,,-8,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,1,0,4,1,,,,,,,,81.39835529999982,83.36805029999232,1.9696949999924982,,,,,-10,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,1,1,5,2,,,,,,,,87.32505990000209,89.81848269999318,2.4934227999910945,,,,,-12,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,1,2,6,3,,,,,,,,93.75485329999356,95.73478549999709,1.9799322000035318,,,,,-14,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,1,3,7,0,,,,,,,,99.64976569999999,102.13493319999543,2.485167499995441,,,,,-16,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.67874219999067,108.67874219999067,108.67874219999067,108.67874219999067,space,5.849938400002429,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,111.98645979999856,113.48540330000105,1.4989435000024969,left,1,None,,-15,54:46,1,1.4748712000000523,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,117.42428369999107,118.90153319999808,1.4772495000070194,left,0,None,,-17,54:46,-2,1.4525018999993335,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,,,,,,,,,,,,122.8363679999893,124.43477449999773,1.5984065000084229,left,0,None,,-19,54:46,-2,1.5752455000038026,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
